key,value,date
climate,21,8/2/20
climate,23,8/3/20
climate,24,8/4/20
climate,37,8/5/20
climate,5,8/6/20
climate,23,8/7/20
climate,20,8/8/20
climate,31,8/9/20
climate,12,8/10/20
climate,38,8/11/20
climate,205,8/12/20
climate,47,8/13/20
climate,44,8/14/20
climate,20,8/15/20
climate,27,8/16/20
climate,6,8/17/20
climate,258,8/18/20
climate,77,8/19/20
climate,22,8/20/20
climate,407,8/21/20
climate,394,8/22/20
climate,16,8/23/20
climate,68,8/24/20
climate,136,8/25/20
climate,12,8/26/20
climate,148,8/27/20
climate,29,8/28/20
climate,50,8/29/20
climate,23,8/30/20
climate,398,8/31/20
climate,398,9/1/20
climate,369,9/2/20
climate,210,9/3/20
climate,84,9/4/20
climate,52,9/5/20
climate,3,9/6/20
climate,91,9/7/20
climate,360,9/8/20
climate,267,9/9/20
climate,254,9/10/20
climate,282,9/11/20
climate,380,9/12/20
climate,1097,9/13/20
climate,4061,9/14/20
climate,2534,9/15/20
climate,711,9/16/20
climate,473,9/17/20
climate,13,9/18/20
climate,256,9/19/20
climate,125,9/20/20
climate,73,9/21/20
climate,80,9/22/20
climate,131,9/23/20
climate,17,9/24/20
climate,43,9/25/20
climate,61,9/26/20
climate,48,9/27/20
climate,39,9/28/20
climate,9,9/29/20
climate,840,9/30/20
climate,151,10/1/20
climate,70,10/2/20
climate,138,10/3/20
climate,11,10/4/20
climate,11,10/5/20
climate,116,10/6/20
climate,66,10/7/20
climate,518,10/8/20
climate,392,10/9/20
climate,59,10/10/20
climate,90,10/11/20
climate,1,10/12/20
climate,233,10/13/20
climate,199,10/14/20
climate,2,10/15/20
climate,89,10/16/20
climate,81,10/17/20
climate,12,10/18/20
climate,27,10/19/20
climate,23,10/20/20
climate,58,10/21/20
climate,71,10/22/20
climate,957,10/23/20
climate,1260,10/24/20
climate,99,10/25/20
climate,397,10/26/20
climate,53,10/27/20
climate,125,10/28/20
climate,156,10/29/20
climate,255,10/30/20
climate,201,10/31/20
climate,397,11/1/20
climate,117,11/2/20
climate,412,11/3/20
law-enforcement,45,8/1/20
law-enforcement,106,8/2/20
law-enforcement,38,8/3/20
law-enforcement,72,8/4/20
law-enforcement,77,8/5/20
law-enforcement,7,8/6/20
law-enforcement,12,8/7/20
law-enforcement,35,8/8/20
law-enforcement,260,8/9/20
law-enforcement,256,8/10/20
law-enforcement,312,8/11/20
law-enforcement,67,8/12/20
law-enforcement,59,8/13/20
law-enforcement,64,8/14/20
law-enforcement,1358,8/15/20
law-enforcement,348,8/16/20
law-enforcement,57,8/17/20
law-enforcement,86,8/18/20
law-enforcement,186,8/19/20
law-enforcement,9,8/20/20
law-enforcement,213,8/21/20
law-enforcement,514,8/22/20
law-enforcement,95,8/23/20
law-enforcement,149,8/24/20
law-enforcement,104,8/25/20
law-enforcement,58,8/26/20
law-enforcement,227,8/27/20
law-enforcement,56,8/28/20
law-enforcement,87,8/29/20
law-enforcement,122,8/30/20
law-enforcement,432,8/31/20
law-enforcement,1090,9/1/20
law-enforcement,1144,9/2/20
law-enforcement,162,9/3/20
law-enforcement,84,9/4/20
law-enforcement,697,9/5/20
law-enforcement,19,9/6/20
law-enforcement,164,9/7/20
law-enforcement,78,9/8/20
law-enforcement,117,9/9/20
law-enforcement,516,9/10/20
law-enforcement,52,9/11/20
law-enforcement,83,9/12/20
