key,value,date
biden-personal,20,8/1/20
biden-personal,21,8/2/20
biden-personal,24,8/3/20
biden-personal,35,8/4/20
biden-personal,15,8/5/20
biden-personal,41,8/6/20
biden-personal,35,8/7/20
biden-personal,30,8/8/20
biden-personal,53,8/9/20
biden-personal,56,8/10/20
biden-personal,51,8/11/20
biden-personal,26,8/12/20
biden-personal,12,8/13/20
biden-personal,90,8/14/20
biden-personal,26,8/15/20
biden-personal,14,8/16/20
biden-personal,21,8/17/20
biden-personal,119,8/18/20
biden-personal,9,8/19/20
biden-personal,50,8/20/20
biden-personal,83,8/21/20
biden-personal,42,8/22/20
biden-personal,39,8/23/20
biden-personal,10,8/24/20
biden-personal,22,8/25/20
biden-personal,66,8/26/20
biden-personal,121,8/27/20
biden-personal,126,8/28/20
biden-personal,140,8/29/20
biden-personal,119,8/30/20
biden-personal,35,8/31/20
biden-personal,22,9/1/20
biden-personal,121,9/2/20
biden-personal,102,9/3/20
biden-personal,32,9/4/20
biden-personal,22,9/5/20
biden-personal,26,9/6/20
biden-personal,41,9/7/20
biden-personal,32,9/8/20
biden-personal,84,9/9/20
biden-personal,45,9/10/20
biden-personal,30,9/11/20
biden-personal,33,9/12/20
biden-personal,113,9/13/20
biden-personal,79,9/14/20
biden-personal,41,9/15/20
biden-personal,155,9/16/20
biden-personal,33,9/17/20
biden-personal,27,9/18/20
biden-personal,65,9/19/20
biden-personal,127,9/20/20
biden-personal,50,9/21/20
biden-personal,41,9/22/20
biden-personal,343,9/23/20
biden-personal,389,9/24/20
biden-personal,120,9/25/20
biden-personal,46,9/26/20
biden-personal,165,9/27/20
biden-personal,261,9/28/20
biden-personal,695,9/29/20
biden-personal,1558,9/30/20
biden-personal,413,10/1/20
biden-personal,100,10/2/20
biden-personal,76,10/3/20
biden-personal,64,10/4/20
biden-personal,94,10/5/20
biden-personal,228,10/6/20
biden-personal,272,10/7/20
biden-personal,110,10/8/20
biden-personal,68,10/9/20
biden-personal,143,10/10/20
biden-personal,66,10/11/20
biden-personal,70,10/12/20
biden-personal,34,10/13/20
biden-personal,219,10/14/20
biden-personal,899,10/15/20
biden-personal,1156,10/16/20
biden-personal,460,10/17/20
biden-personal,718,10/18/20
biden-personal,671,10/19/20
biden-personal,676,10/20/20
biden-personal,946,10/21/20
biden-personal,960,10/22/20
biden-personal,1070,10/23/20
biden-personal,467,10/24/20
biden-personal,566,10/25/20
biden-personal,288,10/26/20
biden-personal,238,10/27/20
biden-personal,475,10/28/20
biden-personal,384,10/29/20
biden-personal,397,10/30/20
biden-personal,244,10/31/20
biden-personal,629,11/1/20
biden-personal,214,11/2/20
biden-personal,132,11/3/20
election-integrity,233,8/1/20
election-integrity,262,8/2/20
election-integrity,131,8/3/20
election-integrity,201,8/4/20
election-integrity,214,8/5/20
election-integrity,132,8/6/20
