key,value,political leaning,date
law-enforcement,0,liberal,8/10/20
law-enforcement,1,liberal,8/11/20
law-enforcement,2,liberal,8/12/20
law-enforcement,0,liberal,8/13/20
law-enforcement,1,liberal,8/14/20
law-enforcement,0,liberal,8/15/20
law-enforcement,1,liberal,8/16/20
law-enforcement,0,liberal,8/17/20
law-enforcement,0,liberal,8/18/20
law-enforcement,0,liberal,8/19/20
law-enforcement,0,liberal,8/20/20
law-enforcement,0,liberal,8/21/20
law-enforcement,0,liberal,8/22/20
law-enforcement,0,liberal,8/23/20
law-enforcement,0,liberal,8/24/20
law-enforcement,0,liberal,8/25/20
law-enforcement,1,liberal,8/26/20
law-enforcement,0,liberal,8/27/20
law-enforcement,2,liberal,8/28/20
law-enforcement,0,liberal,8/29/20
law-enforcement,1,liberal,8/30/20
law-enforcement,6,liberal,8/31/20
law-enforcement,0,liberal,9/1/20
law-enforcement,1,liberal,9/2/20
law-enforcement,1,liberal,9/3/20
law-enforcement,0,liberal,9/4/20
law-enforcement,2,liberal,9/5/20
law-enforcement,0,liberal,9/6/20
law-enforcement,0,liberal,9/7/20
law-enforcement,0,liberal,9/8/20
law-enforcement,1,liberal,9/9/20
law-enforcement,0,liberal,9/10/20
law-enforcement,1,liberal,9/11/20
law-enforcement,1,liberal,9/12/20
law-enforcement,1,liberal,9/13/20
law-enforcement,0,liberal,9/14/20
law-enforcement,0,liberal,9/15/20
law-enforcement,0,liberal,9/16/20
law-enforcement,0,liberal,9/17/20
law-enforcement,0,liberal,9/18/20
law-enforcement,0,liberal,9/19/20
law-enforcement,0,liberal,9/20/20
law-enforcement,0,liberal,9/21/20
law-enforcement,0,liberal,9/22/20
law-enforcement,0,liberal,9/23/20
law-enforcement,1,liberal,9/24/20
law-enforcement,1,liberal,9/25/20
law-enforcement,0,liberal,9/26/20
law-enforcement,0,liberal,9/27/20
law-enforcement,0,liberal,9/28/20
law-enforcement,0,liberal,9/29/20
law-enforcement,1,liberal,9/30/20
law-enforcement,0,liberal,10/1/20
law-enforcement,0,liberal,10/2/20
law-enforcement,0,liberal,10/3/20
law-enforcement,0,liberal,10/4/20
law-enforcement,0,liberal,10/5/20
law-enforcement,0,liberal,10/6/20
law-enforcement,0,liberal,10/7/20
law-enforcement,0,liberal,10/8/20
law-enforcement,0,liberal,10/9/20
law-enforcement,0,liberal,10/10/20
