key,value,date
biden-personal,22,8/1/20
biden-personal,0,8/2/20
biden-personal,4,8/3/20
biden-personal,12,8/4/20
biden-personal,59,8/5/20
biden-personal,13,8/6/20
biden-personal,63,8/7/20
biden-personal,60,8/8/20
biden-personal,3,8/9/20
biden-personal,91,8/10/20
biden-personal,22,8/11/20
biden-personal,18,8/12/20
biden-personal,157,8/13/20
biden-personal,4,8/14/20
biden-personal,0,8/15/20
biden-personal,2,8/16/20
biden-personal,7,8/17/20
biden-personal,14,8/18/20
biden-personal,18,8/19/20
biden-personal,116,8/20/20
biden-personal,50,8/21/20
biden-personal,5,8/22/20
biden-personal,4,8/23/20
biden-personal,1,8/24/20
biden-personal,10,8/25/20
biden-personal,56,8/26/20
biden-personal,6,8/27/20
biden-personal,39,8/28/20
biden-personal,4,8/29/20
biden-personal,4,8/30/20
biden-personal,1,8/31/20
biden-personal,4,9/1/20
biden-personal,4,9/2/20
biden-personal,13,9/3/20
biden-personal,0,9/4/20
biden-personal,2,9/5/20
biden-personal,1,9/6/20
biden-personal,2,9/7/20
biden-personal,2,9/8/20
biden-personal,5,9/9/20
biden-personal,22,9/10/20
biden-personal,12,9/11/20
biden-personal,103,9/12/20
biden-personal,3,9/13/20
biden-personal,53,9/14/20
biden-personal,54,9/15/20
biden-personal,101,9/16/20
biden-personal,50,9/17/20
biden-personal,11,9/18/20
biden-personal,40,9/19/20
biden-personal,11,9/20/20
biden-personal,4,9/21/20
biden-personal,17,9/22/20
biden-personal,578,9/23/20
biden-personal,198,9/24/20
biden-personal,18,9/25/20
biden-personal,52,9/26/20
biden-personal,21,9/27/20
biden-personal,42,9/28/20
biden-personal,83,9/29/20
biden-personal,1244,9/30/20
biden-personal,101,10/1/20
biden-personal,27,10/2/20
biden-personal,13,10/3/20
biden-personal,4,10/4/20
biden-personal,12,10/5/20
biden-personal,5,10/6/20
biden-personal,1,10/7/20
biden-personal,30,10/8/20
biden-personal,9,10/9/20
biden-personal,3,10/10/20
biden-personal,5,10/11/20
biden-personal,2,10/12/20
biden-personal,17,10/13/20
biden-personal,511,10/14/20
biden-personal,1035,10/15/20
biden-personal,660,10/16/20
biden-personal,303,10/17/20
biden-personal,168,10/18/20
biden-personal,377,10/19/20
biden-personal,397,10/20/20
biden-personal,736,10/21/20
biden-personal,850,10/22/20
biden-personal,887,10/23/20
biden-personal,179,10/24/20
biden-personal,205,10/25/20
biden-personal,193,10/26/20
biden-personal,140,10/27/20
biden-personal,291,10/28/20
biden-personal,233,10/29/20
biden-personal,248,10/30/20
biden-personal,116,10/31/20
biden-personal,102,11/1/20
biden-personal,73,11/2/20
biden-personal,53,11/3/20
election-integrity,149,8/1/20
election-integrity,89,8/2/20
election-integrity,192,8/3/20
election-integrity,150,8/4/20
election-integrity,197,8/5/20
election-integrity,49,8/6/20
election-integrity,83,8/7/20
election-integrity,59,8/8/20
election-integrity,25,8/9/20
election-integrity,156,8/10/20
election-integrity,50,8/11/20
election-integrity,40,8/12/20
election-integrity,158,8/13/20
election-integrity,249,8/14/20
election-integrity,172,8/15/20
election-integrity,49,8/16/20
election-integrity,101,8/17/20
election-integrity,360,8/18/20
election-integrity,255,8/19/20
election-integrity,93,8/20/20
election-integrity,92,8/21/20
election-integrity,64,8/22/20
election-integrity,51,8/23/20
election-integrity,134,8/24/20
election-integrity,271,8/25/20
election-integrity,101,8/26/20
election-integrity,81,8/27/20
election-integrity,126,8/28/20
election-integrity,46,8/29/20
election-integrity,51,8/30/20
election-integrity,119,8/31/20
election-integrity,54,9/1/20
election-integrity,72,9/2/20
election-integrity,499,9/3/20
election-integrity,302,9/4/20
election-integrity,125,9/5/20
election-integrity,79,9/6/20
election-integrity,80,9/7/20
election-integrity,105,9/8/20
election-integrity,132,9/9/20
election-integrity,135,9/10/20
election-integrity,66,9/11/20
election-integrity,136,9/12/20
election-integrity,95,9/13/20
election-integrity,89,9/14/20
election-integrity,61,9/15/20
election-integrity,56,9/16/20
election-integrity,115,9/17/20
election-integrity,121,9/18/20
election-integrity,90,9/19/20
election-integrity,28,9/20/20
election-integrity,138,9/21/20
election-integrity,92,9/22/20
election-integrity,75,9/23/20
election-integrity,170,9/24/20
election-integrity,429,9/25/20
election-integrity,208,9/26/20
election-integrity,68,9/27/20
election-integrity,187,9/28/20
election-integrity,224,9/29/20
election-integrity,771,9/30/20
election-integrity,418,10/1/20
election-integrity,349,10/2/20
election-integrity,107,10/3/20
election-integrity,50,10/4/20
election-integrity,303,10/5/20
election-integrity,112,10/6/20
election-integrity,205,10/7/20
election-integrity,278,10/8/20
election-integrity,150,10/9/20
election-integrity,241,10/10/20
election-integrity,76,10/11/20
election-integrity,93,10/12/20
election-integrity,173,10/13/20
election-integrity,175,10/14/20
election-integrity,103,10/15/20
election-integrity,292,10/16/20
election-integrity,103,10/17/20
election-integrity,70,10/18/20
election-integrity,206,10/19/20
election-integrity,158,10/20/20
election-integrity,84,10/21/20
election-integrity,184,10/22/20
election-integrity,167,10/23/20
election-integrity,49,10/24/20
election-integrity,62,10/25/20
election-integrity,115,10/26/20
election-integrity,109,10/27/20
election-integrity,119,10/28/20
election-integrity,162,10/29/20
election-integrity,79,10/30/20
election-integrity,80,10/31/20
election-integrity,47,11/1/20
election-integrity,247,11/2/20
election-integrity,449,11/3/20
climate,25,8/1/20
climate,3,8/2/20
climate,26,8/3/20
climate,2,8/4/20
climate,2,8/5/20
climate,5,8/6/20
climate,5,8/7/20
climate,8,8/8/20
